function;d;m;MLP_L2;MLP_time_sec;RFF_L2;RFF_time_sec;Barron_proxy_norm
Radial;2;32;0.033066;1.8;0.03880617;0.005;27.034
Radial;2;64;0.020571;2.1;0.03384254;0.011;27.034
Radial;2;128;0.019905;2.6;0.02521889;0.018;27.034
Radial;2;256;0.011181;4.8;0.02317453;0.036;27.034
Radial;2;512;0.009910;10.4;0.01762427;0.098;27.034
Radial;2;1024;0.010266;32.2;0.01700046;0.203;27.034
Ridge sum;2;32;0.060740;1.8;0.11380982;0.010;31.144
Ridge sum;2;64;0.039444;2.0;0.10469082;0.009;31.144
Ridge sum;2;128;0.031703;2.7;0.07671598;0.016;31.144
Ridge sum;2;256;0.014492;4.7;0.05701306;0.034;31.144
Ridge sum;2;512;0.009897;10.3;0.04317059;0.097;31.144
Ridge sum;2;1024;0.007991;32.1;0.03786562;0.203;31.144
Fourier narrow;2;32;0.293995;1.8;0.26154953;0.009;33.426
Fourier narrow;2;64;0.229423;2.0;0.25599962;0.008;33.426
Fourier narrow;2;128;0.124151;2.6;0.12736036;0.017;33.426
Fourier narrow;2;256;0.046458;4.7;0.08228550;0.034;33.426
Fourier narrow;2;512;0.029548;10.3;0.06404791;0.098;33.426
Fourier narrow;2;1024;0.022451;32.2;0.06012141;0.203;33.426
Fourier noisy;2;32;0.605329;1.8;1.03337872;0.010;1816.413
Fourier noisy;2;64;0.605229;2.0;0.67870587;0.009;1816.413
Fourier noisy;2;128;0.605435;2.5;0.66076034;0.017;1816.413
Fourier noisy;2;256;0.605332;4.7;0.40230113;0.033;1816.413
Fourier noisy;2;512;0.604980;10.2;0.22214359;0.103;1816.413
Fourier noisy;2;1024;0.605135;31.7;0.10923888;0.204;1816.413
Radial;5;32;0.073482;1.8;0.06693521;0.017;94.679
Radial;5;64;0.062603;2.0;0.05577286;0.021;94.679
Radial;5;128;0.050028;2.8;0.05338656;0.037;94.679
Radial;5;256;0.032199;4.8;0.05152518;0.104;94.679
Radial;5;512;0.025735;10.4;0.05096285;0.225;94.679
Radial;5;1024;0.023630;31.4;0.04953457;0.482;94.679
Ridge sum;5;32;0.136982;1.8;0.23077035;0.026;127.188
Ridge sum;5;64;0.091338;2.0;0.18203524;0.021;127.188
Ridge sum;5;128;0.057459;2.6;0.10992374;0.038;127.188
Ridge sum;5;256;0.022061;4.8;0.08626536;0.105;127.188
Ridge sum;5;512;0.016508;10.4;0.07894681;0.227;127.188
Ridge sum;5;1024;0.011029;31.6;0.06886692;0.475;127.188
Fourier narrow;5;32;0.695621;1.8;0.45397758;0.025;271.387
Fourier narrow;5;64;0.828591;2.1;0.41877970;0.022;271.387
Fourier narrow;5;128;0.567865;2.6;0.39619094;0.037;271.387
Fourier narrow;5;256;0.322962;4.9;0.37324500;0.104;271.387
Fourier narrow;5;512;0.274336;10.5;0.36115283;0.225;271.387
Fourier narrow;5;1024;0.189091;31.4;0.32107028;0.477;271.387
Fourier noisy;5;32;0.610046;1.8;0.90281653;0.026;11249.488
Fourier noisy;5;64;0.610085;2.0;0.90294009;0.021;11249.488
Fourier noisy;5;128;0.610553;2.6;0.90290272;0.037;11249.488
Fourier noisy;5;256;0.610189;4.8;0.90227973;0.104;11249.488
Fourier noisy;5;512;0.610112;10.6;0.90091896;0.226;11249.488
Fourier noisy;5;1024;0.610039;32.1;0.89934748;0.476;11249.488
Radial;10;32;0.051039;1.9;0.07780832;0.038;146.853
Radial;10;64;0.046083;2.1;0.07363480;0.036;146.853
Radial;10;128;0.045271;2.7;0.07165325;0.107;146.853
Radial;10;256;0.037445;5.0;0.07060619;0.206;146.853
Radial;10;512;0.034235;10.7;0.06941528;0.446;146.853
Radial;10;1024;0.032525;33.4;0.06853690;0.933;146.853
Ridge sum;10;32;0.107041;1.9;0.30352506;0.050;782.740
Ridge sum;10;64;0.132570;2.2;0.26973024;0.037;782.740
Ridge sum;10;128;0.096977;2.7;0.23448907;0.108;782.740
Ridge sum;10;256;0.034584;5.1;0.14573839;0.208;782.740
Ridge sum;10;512;0.024427;10.6;0.10284656;0.445;782.740
Ridge sum;10;1024;0.016024;33.6;0.06195549;0.932;782.740
Fourier narrow;10;32;1.048122;1.9;0.72279549;0.050;2786.529
Fourier narrow;10;64;1.122165;2.2;0.70457703;0.036;2786.529
Fourier narrow;10;128;1.062231;2.7;0.62846035;0.108;2786.529
Fourier narrow;10;256;0.863247;5.1;0.50515479;0.209;2786.529
Fourier narrow;10;512;0.713225;10.8;0.45623520;0.445;2786.529
Fourier narrow;10;1024;0.605267;34.4;0.41708213;0.936;2786.529
Fourier noisy;10;32;0.620469;1.9;0.94086891;0.051;17305.784
Fourier noisy;10;64;0.619241;2.2;0.94082546;0.037;17305.784
Fourier noisy;10;128;0.624515;2.7;0.94080460;0.108;17305.784
Fourier noisy;10;256;0.619049;4.9;0.94081217;0.209;17305.784
Fourier noisy;10;512;0.614349;10.6;0.94089121;0.441;17305.784
Fourier noisy;10;1024;0.609746;33.8;0.94092166;0.936;17305.784
Radial;20;32;0.010975;1.9;0.07232577;0.069;42.258
Radial;20;64;0.010898;2.2;0.07087461;0.115;42.258
Radial;20;128;0.010791;2.9;0.07007456;0.218;42.258
Radial;20;256;0.010280;5.5;0.06957766;0.408;42.258
Radial;20;512;0.010202;11.9;0.06945740;0.880;42.258
Radial;20;1024;0.010530;35.9;0.06904099;3.523;42.258
Ridge sum;20;32;0.134674;1.9;0.35716048;0.106;22482.730
Ridge sum;20;64;0.159241;2.3;0.34616065;0.077;22482.730
Ridge sum;20;128;0.168073;3.0;0.27604851;0.154;22482.730
Ridge sum;20;256;0.052031;5.6;0.21463187;0.347;22482.730
Ridge sum;20;512;0.032763;12.2;0.14076066;0.839;22482.730
Ridge sum;20;1024;0.020835;35.7;0.09210380;2.797;22482.730
Fourier narrow;20;32;1.228472;1.9;0.85505718;0.097;32420.498
Fourier narrow;20;64;1.227138;2.2;0.85603821;0.076;32420.498
Fourier narrow;20;128;1.227738;2.9;0.80794817;0.181;32420.498
Fourier narrow;20;256;1.227088;5.6;0.78345716;0.395;32420.498
Fourier narrow;20;512;1.220922;12.0;0.75241005;0.852;32420.498
Fourier narrow;20;1024;1.210008;36.1;0.73931044;2.920;32420.498
Fourier noisy;20;32;0.641516;1.9;1.00334823;0.102;51049.111
Fourier noisy;20;64;0.678648;2.3;1.00339091;0.094;51049.111
Fourier noisy;20;128;0.662666;3.0;1.00332022;0.230;51049.111
Fourier noisy;20;256;0.658606;5.5;1.00336671;0.420;51049.111
Fourier noisy;20;512;0.630641;12.0;1.00355387;0.915;51049.111
Fourier noisy;20;1024;0.634096;36.0;1.00345635;2.922;51049.111
